date,location,weather_severity,precipitation,wind_speed,storm_flag
2023-03-03,Shanghai,0,2.75,4.94,0
2023-03-04,Shanghai,0,0.58,0.93,0
2023-03-05,Shanghai,0,10.79,1.62,0
2023-03-06,Shanghai,0,9.87,0.3,0
2023-03-07,Shanghai,0,15.35,4.28,0
2023-03-08,Shanghai,0,4.5,7.36,0
2023-03-09,Shanghai,0,5.68,3.98,0
2023-03-10,Shanghai,0,1.76,3.48,0
2023-03-11,Shanghai,0,0.14,11.56,0
2023-03-12,Shanghai,0,6.64,27.67,0
2023-03-13,Shanghai,0,1.1,7.53,0
2023-03-14,Shanghai,0,1.44,7.88,0
2023-03-15,Shanghai,0,24.9,3.33,0
2023-03-16,Shanghai,0,0.83,4.67,0
2023-03-17,Shanghai,1,0.71,6.87,0
2023-03-18,Shanghai,0,0.39,30.65,0
2023-03-19,Shanghai,0,5.34,12.42,0
2023-03-20,Shanghai,0,2.24,15.35,0
2023-03-21,Shanghai,0,2.03,2.15,0
2023-03-22,Shanghai,1,6.11,28.82,0
2023-03-23,Shanghai,0,0.54,5.82,0
2023-03-24,Shanghai,1,1.09,2.48,0
2023-03-25,Shanghai,1,19.1,17.09,0
2023-03-26,Shanghai,1,16.27,2.66,0
2023-03-27,Shanghai,1,6.36,10.07,0
2023-03-28,Shanghai,1,18.78,2.2,0
2023-03-29,Shanghai,0,0.4,7.88,0
2023-03-30,Shanghai,0,4.04,2.26,0
2023-03-31,Shanghai,0,5.72,2.41,0
2023-04-01,Shanghai,0,9.27,1.62,0
2023-04-02,Shanghai,0,4.3,0.42,0
2023-04-03,Shanghai,0,4.21,1.34,0
2023-04-04,Shanghai,1,2.64,24.84,0
2023-04-05,Shanghai,0,5.5,4.72,0
2023-04-06,Shanghai,0,0.68,17.89,0
2023-04-07,Shanghai,0,9.76,26.7,0
2023-04-08,Shanghai,0,3.39,28.95,0
2023-04-09,Shanghai,0,0.57,0.73,0
2023-04-10,Shanghai,0,1.79,7.83,0
2023-04-11,Shanghai,0,3.12,1.07,0
2023-04-12,Shanghai,0,17.54,21.25,0
2023-04-13,Shanghai,0,5.64,15.18,0
2023-04-14,Shanghai,0,7.85,4.49,0
2023-04-15,Shanghai,1,35.49,8.19,0
2023-04-16,Shanghai,1,10.51,13.53,0
2023-04-17,Shanghai,1,0.58,19.53,0
2023-04-18,Shanghai,1,9.5,30.99,0
2023-04-19,Shanghai,1,11.39,1.93,0
2023-04-20,Shanghai,2,3.9,19.22,0
2023-04-21,Shanghai,1,1.36,7.99,0
2023-04-22,Shanghai,1,6.25,5.33,0
2023-04-23,Shanghai,1,47.71,20.5,0
2023-04-24,Shanghai,0,7.67,5.14,0
2023-04-25,Shanghai,0,10.24,14.13,0
2023-04-26,Shanghai,0,7.4,17.52,0
2023-04-27,Shanghai,0,2.12,4.73,0
2023-04-28,Shanghai,1,7.35,0.28,0
2023-04-29,Shanghai,1,22.48,58.76,0
2023-04-30,Shanghai,0,1.79,12.23,0
2023-05-01,Shanghai,1,0.43,37.85,0
2023-05-02,Shanghai,1,58.38,1.58,0
2023-05-03,Shanghai,1,3.83,2.32,0
2023-05-04,Shanghai,1,35.53,1.03,0
2023-05-05,Shanghai,1,6.87,4.1,0
2023-05-06,Shanghai,1,6.33,0.15,0
2023-05-07,Shanghai,1,8.11,34.96,0
2023-05-08,Shanghai,1,6.63,6.3,0
2023-05-09,Shanghai,1,25.2,26.64,0
2023-05-10,Shanghai,1,4.15,29.78,0
2023-05-11,Shanghai,1,1.27,29.54,0
2023-05-12,Shanghai,0,9.78,6.63,0
2023-05-13,Shanghai,1,8.81,58.68,0
2023-05-14,Shanghai,1,0.27,36.93,0
2023-05-15,Shanghai,1,8.75,53.23,0
2023-05-16,Shanghai,1,12.78,14.76,0
2023-05-17,Shanghai,0,1.91,20.43,0
2023-05-18,Shanghai,0,2.65,6.14,0
2023-05-19,Shanghai,0,0.65,13.24,0
2023-05-20,Shanghai,0,1.71,12.03,0
2023-05-21,Shanghai,1,8.67,1.24,0
2023-05-22,Shanghai,2,0.32,5.25,0
2023-05-23,Shanghai,1,11.49,25.82,0
2023-05-24,Shanghai,1,22.31,0.44,0
2023-05-25,Shanghai,1,0.89,24.41,0
2023-05-26,Shanghai,2,6.02,20.59,0
2023-05-27,Shanghai,1,1.81,78.4,0
2023-05-28,Shanghai,1,5.09,0.57,0
2023-05-29,Shanghai,2,16.4,16.88,0
2023-05-30,Shanghai,1,8.2,52.95,0
2023-05-31,Shanghai,1,4.02,0.15,0
2023-06-01,Shanghai,1,1.63,17.75,0
2023-06-02,Shanghai,1,30.96,7.21,0
2023-06-03,Shanghai,1,2.36,4.84,0
2023-06-04,Shanghai,1,2.78,22.6,0
2023-06-05,Shanghai,1,0.04,10.43,0
2023-06-06,Shanghai,1,34.13,14.18,0
2023-06-07,Shanghai,1,11.66,0.0,0
2023-06-08,Shanghai,1,15.28,13.04,0
2023-06-09,Shanghai,1,14.86,1.33,0
2023-06-10,Shanghai,1,4.09,10.96,0
2023-06-11,Shanghai,1,4.53,1.49,0
2023-06-12,Shanghai,2,17.35,25.68,0
2023-06-13,Shanghai,2,13.28,4.42,0
2023-06-14,Shanghai,1,0.64,0.45,0
2023-06-15,Shanghai,1,5.29,28.43,0
2023-06-16,Shanghai,1,25.07,4.07,0
2023-06-17,Shanghai,1,7.09,0.14,0
2023-06-18,Shanghai,1,7.75,19.93,0
2023-06-19,Shanghai,1,2.35,12.43,0
2023-06-20,Shanghai,1,30.88,15.75,0
2023-06-21,Shanghai,1,18.76,34.23,0
2023-06-22,Shanghai,1,5.49,3.37,0
2023-06-23,Shanghai,1,3.38,4.72,0
2023-06-24,Shanghai,1,2.49,22.91,0
2023-06-25,Shanghai,2,5.44,10.57,0
2023-06-26,Shanghai,1,1.28,4.9,0
2023-06-27,Shanghai,1,2.16,27.92,0
2023-06-28,Shanghai,1,0.38,7.2,0
2023-06-29,Shanghai,1,15.12,6.94,0
2023-06-30,Shanghai,1,0.67,48.78,0
2023-07-01,Shanghai,1,0.41,0.28,0
2023-07-02,Shanghai,1,14.96,50.07,0
2023-07-03,Shanghai,2,8.04,9.41,0
2023-07-04,Shanghai,1,9.92,54.53,0
2023-07-05,Shanghai,0,8.69,1.39,0
2023-07-06,Shanghai,1,5.26,14.3,0
2023-07-07,Shanghai,2,13.93,31.31,0
2023-07-08,Shanghai,2,7.6,32.48,0
2023-07-09,Shanghai,1,29.09,1.6,0
2023-07-10,Shanghai,1,12.96,1.51,0
2023-07-11,Shanghai,1,2.78,16.12,0
2023-07-12,Shanghai,1,5.51,1.6,0
2023-07-13,Shanghai,1,1.7,26.85,0
2023-07-14,Shanghai,1,9.75,31.31,0
2023-07-15,Shanghai,1,2.13,2.55,0
2023-07-16,Shanghai,1,5.57,24.43,0
2023-07-17,Shanghai,1,5.76,0.83,0
2023-07-18,Shanghai,2,8.45,73.26,0
2023-07-19,Shanghai,2,2.95,17.21,0
2023-07-20,Shanghai,2,7.72,30.73,0
2023-07-21,Shanghai,1,14.38,21.72,0
2023-07-22,Shanghai,2,3.07,24.99,0
2023-07-23,Shanghai,1,3.28,14.86,0
2023-07-24,Shanghai,1,9.25,0.48,0
2023-07-25,Shanghai,1,1.76,33.5,0
2023-07-26,Shanghai,2,31.36,21.53,0
2023-07-27,Shanghai,2,15.01,6.68,0
2023-07-28,Shanghai,2,15.06,9.87,0
2023-07-29,Shanghai,1,9.62,7.49,0
2023-07-30,Shanghai,2,3.85,1.56,0
2023-07-31,Shanghai,2,6.3,4.87,1
2023-08-01,Shanghai,1,5.5,0.34,0
2023-08-02,Shanghai,1,5.91,14.92,0
2023-08-03,Shanghai,2,14.32,12.52,0
2023-08-04,Shanghai,1,2.88,53.28,0
2023-08-05,Shanghai,1,4.65,4.52,0
2023-08-06,Shanghai,1,26.8,14.29,0
2023-08-07,Shanghai,1,22.0,1.15,0
2023-08-08,Shanghai,1,2.74,6.0,0
2023-08-09,Shanghai,1,8.45,15.78,0
2023-08-10,Shanghai,0,1.24,30.3,0
2023-08-11,Shanghai,0,2.05,32.69,0
2023-08-12,Shanghai,1,3.0,0.83,0
2023-08-13,Shanghai,1,8.22,16.2,0
2023-08-14,Shanghai,0,13.26,2.53,0
2023-08-15,Shanghai,1,4.89,34.85,0
2023-08-16,Shanghai,1,23.21,22.31,0
2023-08-17,Shanghai,1,17.09,3.92,0
2023-08-18,Shanghai,0,3.77,4.92,0
2023-08-19,Shanghai,1,8.74,0.13,0
2023-08-20,Shanghai,1,7.35,8.66,0
2023-08-21,Shanghai,2,18.54,18.43,0
2023-08-22,Shanghai,2,9.31,15.07,0
2023-08-23,Shanghai,2,7.39,30.33,0
2023-08-24,Shanghai,1,7.03,2.46,0
2023-08-25,Shanghai,1,6.66,29.33,0
2023-08-26,Shanghai,1,2.27,7.88,0
2023-08-27,Shanghai,2,0.25,11.49,0
2023-08-28,Shanghai,1,3.88,5.87,0
2023-08-29,Shanghai,1,3.43,25.15,0
2023-08-30,Shanghai,1,45.78,8.57,0
2023-08-31,Shanghai,1,6.42,6.18,0
2023-09-01,Shanghai,2,9.16,23.46,0
2023-09-02,Shanghai,1,8.35,16.92,0
2023-09-03,Shanghai,1,9.07,6.64,0
2023-09-04,Shanghai,1,1.35,32.05,0
2023-09-05,Shanghai,1,4.98,8.01,0
2023-09-06,Shanghai,1,0.64,21.64,0
2023-09-07,Shanghai,0,0.01,3.49,0
2023-09-08,Shanghai,0,3.63,15.21,0
2023-09-09,Shanghai,0,19.93,14.8,0
2023-09-10,Shanghai,0,3.21,12.62,0
2023-09-11,Shanghai,0,0.37,15.98,0
2023-09-12,Shanghai,0,1.73,8.56,0
2023-09-13,Shanghai,0,1.02,2.04,0
2023-09-14,Shanghai,1,9.91,11.87,0
2023-09-15,Shanghai,0,1.92,2.37,0
2023-09-16,Shanghai,0,5.19,9.59,0
2023-09-17,Shanghai,0,2.77,1.18,0
2023-09-18,Shanghai,1,7.91,14.05,0
2023-09-19,Shanghai,0,4.79,1.57,0
2023-09-20,Shanghai,0,11.0,8.88,0
2023-09-21,Shanghai,0,1.84,40.98,0
2023-09-22,Shanghai,0,2.13,11.48,0
2023-09-23,Shanghai,1,4.97,6.12,0
2023-09-24,Shanghai,1,5.69,4.54,0
2023-09-25,Shanghai,1,1.78,9.01,0
2023-09-26,Shanghai,0,4.02,7.15,0
2023-09-27,Shanghai,0,6.67,9.3,0
2023-09-28,Shanghai,0,1.5,2.91,0
2023-09-29,Shanghai,0,10.75,10.03,0
2023-09-30,Shanghai,0,8.92,1.83,0
2023-10-01,Shanghai,0,8.26,26.0,0
2023-10-02,Shanghai,0,6.97,13.11,0
2023-10-03,Shanghai,0,5.33,6.48,0
2023-10-04,Shanghai,0,3.32,11.45,0
2023-10-05,Shanghai,0,5.5,1.7,0
2023-10-06,Shanghai,0,9.6,19.56,0
2023-10-07,Shanghai,0,2.85,23.15,0
2023-10-08,Shanghai,0,0.91,2.16,0
2023-10-09,Shanghai,0,15.74,0.38,0
2023-10-10,Shanghai,0,12.99,4.38,0
2023-10-11,Shanghai,1,3.45,18.45,0
2023-10-12,Shanghai,0,2.5,35.82,0
2023-10-13,Shanghai,0,7.86,4.07,0
2023-10-14,Shanghai,0,2.93,3.99,0
2023-10-15,Shanghai,0,3.02,1.27,0
2023-10-16,Shanghai,0,3.95,20.19,0
2023-10-17,Shanghai,0,1.36,31.16,0
2023-10-18,Shanghai,0,4.16,0.72,0
2023-10-19,Shanghai,0,1.22,0.95,0
2023-10-20,Shanghai,0,2.23,3.04,0
2023-10-21,Shanghai,1,2.64,37.14,0
2023-10-22,Shanghai,0,0.41,48.09,0
2023-10-23,Shanghai,0,10.5,4.35,0
2023-10-24,Shanghai,0,2.0,13.98,0
2023-10-25,Shanghai,0,1.85,8.95,0
2023-10-26,Shanghai,0,33.02,2.43,0
2023-10-27,Shanghai,0,4.52,7.93,0
2023-10-28,Shanghai,0,0.27,29.11,0
2023-10-29,Shanghai,0,2.85,14.32,0
2023-10-30,Shanghai,1,3.22,25.04,0
2023-10-31,Shanghai,1,5.05,22.83,0
2023-11-01,Shanghai,0,1.05,1.51,0
2023-11-02,Shanghai,0,0.96,7.11,0
2023-11-03,Shanghai,0,0.48,11.63,0
2023-11-04,Shanghai,0,6.47,7.53,0
2023-11-05,Shanghai,0,0.15,0.11,0
2023-11-06,Shanghai,0,7.75,0.94,0
2023-11-07,Shanghai,1,1.35,39.1,0
2023-11-08,Shanghai,1,11.13,23.63,0
2023-11-09,Shanghai,0,6.44,13.55,0
2023-11-10,Shanghai,0,5.55,21.59,0
2023-11-11,Shanghai,0,0.2,12.13,0
2023-11-12,Shanghai,0,2.19,37.88,0
2023-11-13,Shanghai,0,5.34,23.53,0
2023-11-14,Shanghai,0,0.11,3.17,0
2023-11-15,Shanghai,0,1.9,4.13,0
2023-11-16,Shanghai,0,2.58,7.44,0
2023-11-17,Shanghai,0,10.51,3.08,0
2023-11-18,Shanghai,0,1.34,19.56,0
2023-11-19,Shanghai,0,1.1,1.93,0
2023-11-20,Shanghai,0,17.1,8.91,0
2023-11-21,Shanghai,0,2.29,13.67,0
2023-11-22,Shanghai,0,2.3,8.94,0
2023-11-23,Shanghai,0,7.21,2.95,0
2023-11-24,Shanghai,1,9.42,11.42,0
2023-11-25,Shanghai,0,2.91,1.54,0
2023-11-26,Shanghai,1,7.4,12.17,0
2023-11-27,Shanghai,0,2.04,8.09,0
2023-11-28,Shanghai,0,5.97,6.96,0
2023-11-29,Shanghai,0,0.76,7.89,0
2023-11-30,Shanghai,0,0.76,2.82,0
2023-12-01,Shanghai,0,2.2,33.77,0
2023-12-02,Shanghai,0,0.09,12.92,0
2023-12-03,Shanghai,0,1.31,9.7,0
2023-12-04,Shanghai,0,3.71,10.84,0
2023-12-05,Shanghai,0,2.13,4.78,0
2023-12-06,Shanghai,0,0.74,25.83,0
2023-12-07,Shanghai,0,31.19,1.53,0
2023-12-08,Shanghai,0,9.8,0.43,0
2023-12-09,Shanghai,0,1.5,11.12,0
2023-12-10,Shanghai,0,9.2,8.71,0
2023-12-11,Shanghai,0,12.87,3.96,0
2023-12-12,Shanghai,0,6.96,39.63,0
2023-12-13,Shanghai,0,0.28,12.46,0
2023-12-14,Shanghai,0,4.18,7.23,0
2023-12-15,Shanghai,0,3.69,15.67,0
2023-12-16,Shanghai,0,3.83,1.77,0
2023-12-17,Shanghai,0,0.6,4.17,0
2023-12-18,Shanghai,0,6.28,2.23,0
2023-12-19,Shanghai,0,10.68,2.35,0
2023-12-20,Shanghai,0,0.43,15.09,0
2023-12-21,Shanghai,0,1.58,6.33,0
2023-12-22,Shanghai,0,0.06,8.2,0
2023-12-23,Shanghai,0,8.69,3.72,0
2023-12-24,Shanghai,0,24.06,1.32,0
2023-12-25,Shanghai,0,0.1,3.02,0
2023-12-26,Shanghai,0,11.44,3.12,0
2023-12-27,Shanghai,0,2.95,9.42,0
2023-12-28,Shanghai,0,14.47,13.03,0
2023-12-29,Shanghai,0,18.8,41.77,0
2023-12-30,Shanghai,0,8.11,22.32,0
2023-12-31,Shanghai,0,0.67,45.68,0
2024-01-01,Shanghai,0,3.99,15.45,0
2024-01-02,Shanghai,0,0.94,0.11,0
2024-01-03,Shanghai,0,23.66,1.16,0
2024-01-04,Shanghai,0,3.2,9.07,0
2024-01-05,Shanghai,0,1.27,6.93,0
2024-01-06,Shanghai,0,1.78,2.49,0
2024-01-07,Shanghai,0,16.87,2.6,0
2024-01-08,Shanghai,0,0.58,13.51,0
2024-01-09,Shanghai,0,6.56,4.44,0
2024-01-10,Shanghai,0,11.06,13.84,0
2024-01-11,Shanghai,0,2.6,12.43,0
2024-01-12,Shanghai,0,5.46,5.13,0
2024-01-13,Shanghai,0,4.07,7.81,0
2024-01-14,Shanghai,0,3.06,3.77,0
2024-01-15,Shanghai,0,2.56,9.51,0
2024-01-16,Shanghai,0,0.35,26.25,0
2024-01-17,Shanghai,0,1.7,15.01,0
2024-01-18,Shanghai,0,0.97,10.01,0
2024-01-19,Shanghai,0,3.03,13.86,0
2024-01-20,Shanghai,0,7.02,5.45,0
2024-01-21,Shanghai,0,1.36,5.4,0
2024-01-22,Shanghai,0,1.65,1.5,0
2024-01-23,Shanghai,0,1.96,4.86,0
2024-01-24,Shanghai,0,7.83,7.9,0
2024-01-25,Shanghai,0,9.97,4.29,0
2024-01-26,Shanghai,0,0.75,0.65,0
2024-01-27,Shanghai,0,11.69,0.46,0
2024-01-28,Shanghai,0,7.68,3.57,0
2024-01-29,Shanghai,0,0.48,2.37,0
2024-01-30,Shanghai,0,5.53,6.2,0
2024-01-31,Shanghai,0,4.48,9.14,0
2024-02-01,Shanghai,0,3.72,8.91,0
2024-02-02,Shanghai,0,0.41,2.09,0
2024-02-03,Shanghai,1,8.0,24.97,0
2024-02-04,Shanghai,0,3.89,23.84,0
2024-02-05,Shanghai,0,1.57,9.49,0
2024-02-06,Shanghai,0,2.97,7.98,0
2024-02-07,Shanghai,1,11.27,3.56,0
2024-02-08,Shanghai,1,0.36,0.47,0
2024-02-09,Shanghai,0,2.74,13.46,0
2024-02-10,Shanghai,0,9.19,25.77,0
2024-02-11,Shanghai,0,2.8,30.09,0
2024-02-12,Shanghai,0,9.79,0.54,0
2024-02-13,Shanghai,0,0.9,11.12,0
2024-02-14,Shanghai,0,7.38,6.29,0
2024-02-15,Shanghai,0,13.89,0.19,0
2024-02-16,Shanghai,0,0.76,5.07,0
2024-02-17,Shanghai,0,8.82,2.82,0
2024-02-18,Shanghai,0,1.51,7.45,0
2024-02-19,Shanghai,0,0.61,11.2,0
2024-02-20,Shanghai,0,0.52,7.37,0
2024-02-21,Shanghai,0,2.6,9.44,0
2024-02-22,Shanghai,0,0.07,9.08,0
2024-02-23,Shanghai,0,1.41,0.01,0
2024-02-24,Shanghai,0,2.61,33.92,0
2024-02-25,Shanghai,0,2.93,15.59,0
2024-02-26,Shanghai,0,1.16,0.29,0
2024-02-27,Shanghai,0,1.91,2.52,0
2024-02-28,Shanghai,0,1.01,2.65,0
2024-02-29,Shanghai,0,1.39,1.17,0
2024-03-01,Shanghai,0,5.99,0.79,0
2024-03-02,Shanghai,0,2.67,6.92,0
2024-03-03,Shanghai,0,6.83,1.16,0
2024-03-04,Shanghai,0,1.38,14.06,0
2024-03-05,Shanghai,0,0.14,6.96,0
2024-03-06,Shanghai,0,3.86,2.53,0
2024-03-07,Shanghai,0,6.29,13.05,0
2024-03-08,Shanghai,0,0.5,11.29,0
2024-03-09,Shanghai,0,5.66,28.61,0
2024-03-10,Shanghai,0,0.61,1.73,0
2024-03-11,Shanghai,0,1.79,1.47,0
2024-03-12,Shanghai,0,4.08,1.61,0
2024-03-13,Shanghai,0,0.51,4.43,0
2024-03-14,Shanghai,0,4.88,18.41,0
2024-03-15,Shanghai,0,3.8,31.82,0
2024-03-16,Shanghai,0,5.36,9.05,0
2024-03-17,Shanghai,0,0.4,16.69,0
2024-03-18,Shanghai,0,1.45,41.66,0
2024-03-19,Shanghai,0,8.23,0.32,0
2024-03-20,Shanghai,0,0.12,24.08,0
2024-03-21,Shanghai,0,8.71,3.78,0
2024-03-22,Shanghai,0,6.52,0.11,0
2024-03-23,Shanghai,0,0.49,4.98,0
2024-03-24,Shanghai,0,0.84,28.59,0
2024-03-25,Shanghai,0,7.51,5.2,0
2024-03-26,Shanghai,0,3.3,7.09,0
2024-03-27,Shanghai,0,2.74,2.73,0
2024-03-28,Shanghai,0,1.56,0.04,0
2024-03-29,Shanghai,0,2.86,23.89,0
2024-03-30,Shanghai,0,2.22,8.58,0
2024-03-31,Shanghai,0,2.64,0.69,0
2024-04-01,Shanghai,0,8.88,9.97,0
2024-04-02,Shanghai,0,0.17,2.72,0
2024-04-03,Shanghai,0,10.93,0.58,0
2024-04-04,Shanghai,1,2.59,7.77,0
2024-04-05,Shanghai,1,2.54,29.46,0
2024-04-06,Shanghai,1,8.68,34.81,0
2024-04-07,Shanghai,1,15.05,20.66,0
2024-04-08,Shanghai,0,4.09,10.43,0
2024-04-09,Shanghai,0,1.38,2.57,0
2024-04-10,Shanghai,0,0.55,1.58,0
2024-04-11,Shanghai,0,2.7,16.76,0
2024-04-12,Shanghai,0,0.39,4.53,0
2024-04-13,Shanghai,1,14.6,43.79,0
2024-04-14,Shanghai,0,1.73,8.02,0
2024-04-15,Shanghai,1,9.91,21.25,0
2024-04-16,Shanghai,1,12.55,17.34,0
2024-04-17,Shanghai,1,6.58,10.83,0
2024-04-18,Shanghai,1,10.15,0.19,0
2024-04-19,Shanghai,2,8.62,3.32,0
2024-04-20,Shanghai,1,3.26,3.88,0
2024-04-21,Shanghai,1,9.66,1.2,0
2024-04-22,Shanghai,0,5.84,1.36,0
2024-04-23,Shanghai,1,1.17,13.48,0
2024-04-24,Shanghai,0,7.09,9.03,0
2024-04-25,Shanghai,0,2.25,12.28,0
2024-04-26,Shanghai,1,20.57,3.38,0
2024-04-27,Shanghai,1,14.18,26.13,0
2024-04-28,Shanghai,1,5.54,3.87,0
2024-04-29,Shanghai,1,7.18,0.35,0
2024-04-30,Shanghai,1,1.09,8.23,0
2024-05-01,Shanghai,1,5.17,3.35,0
2024-05-02,Shanghai,1,4.48,14.88,0
2024-05-03,Shanghai,1,3.53,42.42,0
2024-05-04,Shanghai,2,6.34,13.39,0
2024-05-05,Shanghai,2,42.84,57.92,0
2024-05-06,Shanghai,2,1.56,10.87,0
2024-05-07,Shanghai,1,0.69,0.45,0
2024-05-08,Shanghai,1,4.6,39.87,0
2024-05-09,Shanghai,1,3.07,10.62,0
2024-05-10,Shanghai,1,7.95,32.26,0
2024-05-11,Shanghai,1,2.15,3.92,0
2024-05-12,Shanghai,2,20.02,18.43,0
2024-05-13,Shanghai,2,16.97,1.94,1
2024-05-14,Shanghai,2,2.15,21.72,0
2024-05-15,Shanghai,2,1.39,11.69,1
2024-05-16,Shanghai,1,8.68,27.37,0
2024-05-17,Shanghai,1,0.26,15.6,0
2024-05-18,Shanghai,0,1.53,9.79,0
2024-05-19,Shanghai,1,15.4,7.44,0
2024-05-20,Shanghai,0,0.68,10.56,0
2024-05-21,Shanghai,0,4.31,13.68,0
2024-05-22,Shanghai,0,3.12,7.44,0
2024-05-23,Shanghai,1,25.5,29.4,0
2024-05-24,Shanghai,0,2.28,2.63,0
2024-05-25,Shanghai,0,8.48,6.9,0
2024-05-26,Shanghai,1,18.09,16.13,0
2024-05-27,Shanghai,1,1.25,7.14,0
2024-05-28,Shanghai,2,6.71,5.21,0
2024-05-29,Shanghai,2,7.7,2.35,0
2024-05-30,Shanghai,2,6.63,20.32,1
2024-05-31,Shanghai,2,18.04,6.41,0
2024-06-01,Shanghai,2,0.53,1.48,0
2024-06-02,Shanghai,1,2.07,13.82,0
2024-06-03,Shanghai,1,1.62,1.83,0
2024-06-04,Shanghai,1,0.67,34.64,0
2024-06-05,Shanghai,1,1.99,1.41,0
2024-06-06,Shanghai,1,2.92,22.67,0
2024-06-07,Shanghai,1,3.0,16.58,0
2024-06-08,Shanghai,1,0.24,0.86,0
2024-06-09,Shanghai,1,5.58,7.25,0
2024-06-10,Shanghai,1,1.33,28.2,0
2024-06-11,Shanghai,1,4.05,2.72,0
2024-06-12,Shanghai,1,5.01,10.3,0
2024-06-13,Shanghai,2,9.34,39.94,0
2024-06-14,Shanghai,1,3.66,3.08,0
2024-06-15,Shanghai,1,0.66,4.68,0
2024-06-16,Shanghai,1,0.09,1.75,0
2024-06-17,Shanghai,1,3.82,39.44,0
2024-06-18,Shanghai,1,12.16,1.53,0
2024-06-19,Shanghai,1,26.83,49.24,0
2024-06-20,Shanghai,1,10.06,8.03,0
2024-06-21,Shanghai,1,3.4,25.41,0
2024-06-22,Shanghai,1,20.51,22.08,0
2024-06-23,Shanghai,1,18.38,15.46,0
2024-06-24,Shanghai,2,15.01,12.73,0
2024-06-25,Shanghai,2,25.49,20.59,0
2024-06-26,Shanghai,1,10.54,6.12,0
2024-06-27,Shanghai,1,5.71,17.4,0
2024-06-28,Shanghai,1,11.88,0.11,0
2024-06-29,Shanghai,1,7.62,1.08,0
2024-06-30,Shanghai,1,17.58,1.78,0
2024-07-01,Shanghai,2,2.54,4.01,0
2024-07-02,Shanghai,2,1.55,6.11,0
2024-07-03,Shanghai,2,6.3,40.08,1
2024-07-04,Shanghai,2,1.25,83.09,0
2024-07-05,Shanghai,2,6.45,4.62,0
2024-07-06,Shanghai,2,11.72,1.57,0
2024-07-07,Shanghai,2,19.7,5.15,0
2024-07-08,Shanghai,2,36.16,26.53,0
2024-07-09,Shanghai,2,3.92,39.64,0
2024-07-10,Shanghai,2,4.98,11.76,0
