shipment_id,supplier_id,port_id,ship_date,expected_delivery_date,actual_delivery_date,distance_km,transport_mode,traffic_level,weather_severity,port_congestion,supplier_risk,delayed,delay_hours
47,50,15,2023-06-17,2023-07-08,2023-07-12,1850.43,truck,4,2,0.2521,0.1476,1,103.92
48,46,15,2025-06-07,2025-06-28,2025-06-28,7881.97,air,4,2,0.4828,0.0911,0,2.01
49,50,11,2025-11-24,2025-12-16,2025-12-20,2908.84,air,5,1,0.3966,0.1476,1,101.64
50,43,3,2024-06-19,2024-08-14,2024-08-14,12072.62,ship,5,0,0.5403,0.1166,0,1.4
51,19,8,2025-03-26,2025-04-15,2025-04-15,2257.64,truck,1,0,0.1815,0.2562,0,3.07
52,45,13,2024-03-17,2024-05-10,2024-05-11,14614.36,ship,3,1,0.3348,0.1051,1,19.57
53,49,13,2023-05-28,2023-06-16,2023-06-17,1754.93,truck,3,0,0.381,0.0836,1,16.93
54,21,17,2023-05-09,2023-05-27,2023-05-28,1518.06,truck,3,1,0.2198,0.1211,1,19.54
55,34,12,2024-06-15,2024-06-26,2024-06-26,4194.53,air,2,0,0.2981,0.0399,0,2.5
56,10,13,2023-07-22,2023-08-14,2023-08-15,3860.75,air,3,0,0.3772,0.335,1,22.0
57,41,9,2025-03-30,2025-04-23,2025-04-24,3955.92,ship,2,1,0.4409,0.5395,1,15.92
58,15,3,2025-04-16,2025-06-18,2025-06-18,10979.07,ship,2,0,0.4832,0.1012,0,2.94
59,46,16,2024-10-23,2025-01-06,2025-01-09,20000.0,ship,3,1,0.5131,0.0911,1,64.29
60,34,10,2023-10-28,2023-11-16,2023-11-22,3975.92,ship,5,1,0.4671,0.0399,1,134.84
61,10,1,2023-10-21,2023-11-18,2023-11-20,2883.01,ship,3,1,0.6394,0.335,1,40.25
62,28,10,2025-04-16,2025-05-05,2025-05-05,4513.87,air,4,1,0.5789,0.183,0,1.89
63,30,13,2024-05-17,2024-06-26,2024-06-29,7722.99,ship,5,1,0.5921,0.3611,1,78.91
64,28,11,2024-03-01,2024-03-20,2024-03-20,1633.41,truck,3,0,0.4834,0.183,0,2.43
65,41,4,2023-06-01,2023-06-17,2023-06-17,418.16,truck,1,1,0.5909,0.5395,0,4.0
66,40,7,2025-09-15,2025-10-06,2025-10-06,1964.08,air,2,0,0.3452,0.1206,0,1.98
67,30,16,2023-04-07,2023-04-26,2023-04-28,1087.29,truck,1,1,0.7504,0.3611,1,45.42
68,40,20,2024-07-01,2024-08-02,2024-08-03,3971.0,ship,2,0,0.5835,0.1206,1,34.44
69,19,2,2023-07-29,2023-08-14,2023-08-16,842.34,truck,2,0,0.0895,0.2562,1,45.34
70,31,7,2023-08-21,2023-10-17,2023-10-18,13326.31,ship,4,0,0.2392,0.2757,1,20.83
71,15,5,2025-09-02,2025-10-10,2025-10-12,3387.92,truck,5,1,0.4713,0.1012,1,55.53
72,30,2,2023-03-15,2023-04-03,2023-04-04,637.12,truck,4,0,0.3426,0.3611,1,30.0
73,46,17,2024-12-06,2024-12-26,2024-12-26,5069.16,air,3,0,0.4385,0.0911,0,1.28
74,32,17,2024-11-18,2024-12-14,2024-12-15,405.13,truck,4,0,0.2779,0.299,1,34.05
75,34,18,2023-08-27,2023-09-08,2023-09-15,313.83,truck,2,2,0.6541,0.0399,1,156.96
76,32,7,2024-04-01,2024-05-05,2024-05-05,2518.96,truck,5,1,0.4372,0.299,0,1.73
77,12,5,2024-03-09,2024-04-27,2024-04-27,7085.12,ship,4,0,0.3153,0.2771,1,10.84
78,16,3,2025-01-06,2025-03-21,2025-03-22,17059.85,ship,2,2,0.6418,0.3266,1,31.81
79,50,13,2023-04-09,2023-04-28,2023-04-28,404.07,truck,1,1,0.5695,0.1476,0,0.88
80,36,1,2024-09-27,2024-10-20,2024-10-25,1256.02,truck,4,1,0.8334,0.0168,1,119.38
81,32,16,2023-08-27,2023-09-22,2023-09-22,683.78,truck,1,1,0.7301,0.299,0,1.74
82,47,1,2024-03-28,2024-04-25,2024-04-26,352.23,truck,2,0,0.6492,0.1768,1,27.46
83,47,6,2024-11-02,2024-12-10,2024-12-10,3931.25,ship,1,0,0.5437,0.1768,1,9.69
84,10,9,2024-02-24,2024-03-21,2024-03-22,1584.2,truck,5,0,0.7139,0.335,1,22.41
85,1,9,2023-11-27,2023-12-22,2023-12-24,998.46,truck,3,1,0.6721,0.2492,1,55.07
86,7,18,2023-03-25,2023-04-15,2023-04-15,592.2,truck,4,1,0.6706,0.2727,0,7.9
87,49,14,2024-09-19,2024-10-06,2024-10-06,1604.7,truck,5,0,0.4568,0.0836,0,2.58
88,15,6,2023-03-19,2023-05-03,2023-05-05,5225.44,ship,5,0,0.6797,0.1012,1,48.16
89,38,10,2023-06-14,2023-06-29,2023-06-29,318.94,truck,3,1,0.6973,0.1178,0,2.09
90,22,12,2023-12-08,2023-12-24,2023-12-24,1415.15,air,1,0,0.4501,0.1904,0,1.68
91,32,12,2024-12-02,2024-12-29,2024-12-29,3561.09,air,1,0,0.3021,0.299,0,0.9
92,38,4,2025-11-20,2025-12-09,2025-12-10,1547.56,truck,4,0,0.5687,0.1178,1,32.9
93,31,3,2023-01-06,2023-02-01,2023-02-04,3334.64,ship,4,1,0.645,0.2757,1,61.2
94,50,12,2024-09-21,2024-10-11,2024-10-11,1350.85,truck,4,0,0.2751,0.1476,0,2.01
95,8,13,2023-12-03,2024-01-22,2024-01-22,9761.83,ship,1,0,0.3649,0.1094,0,3.03
96,18,17,2025-04-28,2025-05-15,2025-05-15,3186.38,truck,1,1,0.2791,0.0465,0,1.34
97,39,11,2024-05-17,2024-06-07,2024-06-08,850.73,truck,4,1,0.5502,0.2906,1,22.3
98,36,14,2024-07-29,2024-08-21,2024-08-21,342.44,truck,3,2,0.5132,0.0168,0,3.21
99,7,2,2023-02-25,2023-03-29,2023-03-29,4155.05,ship,1,0,0.3617,0.2727,0,3.22
100,45,10,2023-11-01,2023-11-16,2023-11-18,1194.99,truck,2,1,0.5271,0.1051,1,54.28
101,32,18,2025-04-30,2025-06-18,2025-06-21,8797.24,ship,5,1,0.4682,0.299,1,74.87
102,2,15,2024-07-22,2024-08-01,2024-08-03,365.73,truck,5,1,0.588,0.3485,1,50.28
103,23,17,2024-03-04,2024-04-17,2024-04-19,6647.5,ship,1,0,0.5068,0.2281,1,40.48
104,23,13,2023-03-01,2023-03-29,2023-04-01,2067.97,ship,5,1,0.4535,0.2281,1,77.12
105,42,2,2024-02-11,2024-02-29,2024-02-29,1424.16,truck,1,0,0.3526,0.2372,0,2.21
106,29,10,2023-02-03,2023-03-05,2023-03-05,3107.08,ship,2,0,0.4905,0.223,0,4.13
107,11,9,2024-02-21,2024-03-21,2024-03-21,5923.31,ship,4,0,0.7835,0.163,0,1.42
108,1,3,2024-09-30,2024-10-24,2024-10-25,507.0,truck,2,1,0.7524,0.2492,1,30.5
109,6,11,2024-03-16,2024-04-09,2024-04-09,503.54,truck,4,0,0.4656,0.3463,0,0.96
110,47,12,2023-10-05,2023-11-02,2023-11-02,3598.13,air,2,1,0.4439,0.1768,0,2.55
111,13,4,2025-03-11,2025-03-28,2025-03-28,2288.01,truck,2,0,0.6234,0.1757,0,2.24
112,35,2,2025-08-29,2025-09-24,2025-09-24,831.6,truck,3,0,0.4931,0.4038,0,2.3
113,14,1,2025-09-05,2025-11-28,2025-11-29,20000.0,ship,3,1,0.6369,0.2082,1,27.84
114,25,2,2023-05-30,2023-06-22,2023-06-22,4977.81,air,5,1,0.0312,0.3294,0,1.89
115,47,11,2024-08-19,2024-09-16,2024-09-16,1572.26,air,5,2,0.6317,0.1768,0,2.73
116,48,5,2024-05-14,2024-06-17,2024-06-18,5430.33,ship,1,1,0.4554,0.5295,1,31.97
117,20,17,2024-09-29,2024-12-08,2024-12-09,14998.09,ship,2,0,0.3522,0.2853,1,18.09
118,39,2,2025-07-24,2025-10-05,2025-10-07,20000.0,ship,5,1,0.4337,0.2906,1,42.88
119,32,13,2023-01-22,2023-02-19,2023-02-19,10390.7,air,2,1,0.1921,0.299,0,2.86
120,40,4,2023-12-09,2023-12-30,2023-12-30,3674.02,air,1,0,0.5198,0.1206,0,1.91
121,27,15,2023-05-28,2023-06-22,2023-06-26,1453.06,truck,1,2,0.3751,0.1179,1,91.14
122,37,12,2023-06-20,2023-08-16,2023-08-16,9269.36,ship,4,1,0.3995,0.1502,0,1.82
123,27,5,2024-09-27,2024-10-15,2024-10-16,303.87,truck,2,1,0.3801,0.1179,1,27.34
124,38,8,2025-07-12,2025-07-28,2025-07-28,1010.46,truck,5,2,0.2843,0.1178,0,1.7
125,40,11,2023-05-26,2023-06-14,2023-06-19,396.49,truck,4,1,0.4674,0.1206,1,120.16
126,43,13,2023-02-12,2023-03-08,2023-03-08,2549.17,air,2,2,0.2946,0.1166,0,1.54
127,23,19,2024-10-07,2024-10-31,2024-10-31,988.84,truck,2,1,0.3224,0.2281,0,1.81
128,27,3,2025-09-29,2025-10-22,2025-10-22,1194.33,truck,4,0,0.4632,0.1179,0,1.9
129,4,19,2023-03-25,2023-05-31,2023-06-02,12845.31,ship,1,0,0.2973,0.2301,1,42.5
130,5,15,2023-12-18,2024-01-13,2024-01-16,753.14,truck,3,0,0.6736,0.2606,1,72.52
131,50,5,2024-04-18,2024-05-21,2024-05-22,5829.8,ship,5,0,0.5402,0.1476,1,16.27
132,25,5,2023-03-18,2023-04-13,2023-04-14,1367.04,truck,4,0,0.4336,0.3294,1,34.64
133,7,17,2023-04-28,2023-05-19,2023-05-19,588.75,truck,2,0,0.2616,0.2727,0,2.23
134,36,16,2024-05-11,2024-06-01,2024-06-03,560.79,truck,3,1,0.7345,0.0168,1,41.82
135,14,9,2024-03-26,2024-04-25,2024-04-25,1722.76,truck,1,0,0.5408,0.2082,0,1.44
136,37,14,2023-11-30,2024-01-02,2024-01-03,1360.86,truck,5,1,0.2077,0.1502,1,33.04
137,50,11,2024-05-11,2024-06-05,2024-06-07,3636.76,ship,3,0,0.3316,0.1476,1,58.21
138,17,17,2023-06-02,2023-07-13,2023-07-14,589.12,truck,3,2,0.2265,0.1135,1,16.68
139,19,9,2024-03-23,2024-04-10,2024-04-13,306.75,truck,3,0,0.4663,0.2562,1,79.47
140,48,15,2023-07-10,2023-07-28,2023-07-28,2945.42,air,5,1,0.6395,0.5295,0,2.21
141,15,6,2025-06-28,2025-07-28,2025-07-28,612.16,truck,5,1,0.2305,0.1012,0,4.11
142,45,2,2024-08-19,2024-09-04,2024-09-04,7366.05,air,5,1,0.14,0.1051,0,3.02
143,2,2,2024-03-27,2024-04-09,2024-04-13,5028.82,air,2,1,0.4972,0.3485,1,94.31
144,23,16,2024-12-26,2025-02-28,2025-03-07,14818.75,ship,3,0,0.781,0.2281,1,161.19
145,26,4,2023-07-14,2023-09-09,2023-09-15,13221.54,ship,4,1,0.5024,0.1577,1,145.08
146,4,14,2025-11-14,2025-12-17,2025-12-18,610.17,truck,5,1,0.3576,0.2301,1,34.08
147,30,1,2024-05-11,2024-05-31,2024-06-01,644.54,truck,3,1,0.7269,0.3611,1,28.85
148,47,14,2025-06-20,2025-07-17,2025-07-17,410.29,truck,5,3,0.3065,0.1768,0,8.77
149,33,5,2025-01-18,2025-02-08,2025-02-08,3913.0,truck,1,0,0.721,0.1674,1,9.26
150,27,11,2025-03-15,2025-04-07,2025-04-09,959.68,truck,2,0,0.5067,0.1179,1,37.92
151,39,18,2024-07-06,2024-07-22,2024-07-25,374.99,truck,1,1,0.561,0.2906,1,80.89
152,37,13,2023-06-04,2023-07-04,2023-07-08,509.26,truck,3,0,0.505,0.1502,1,95.34
153,35,5,2024-12-30,2025-01-25,2025-01-25,3867.05,air,3,0,0.5213,0.4038,0,2.09
154,42,14,2023-02-28,2023-03-14,2023-03-14,964.36,truck,1,0,0.471,0.2372,0,3.43
155,12,12,2024-07-02,2024-08-04,2024-08-05,1088.67,truck,3,1,0.3136,0.2771,1,34.73
156,39,17,2024-08-10,2024-09-04,2024-09-05,3788.52,truck,2,1,0.2166,0.2906,1,14.07
157,26,1,2024-11-04,2024-11-21,2024-11-21,473.4,truck,1,0,0.5125,0.1577,0,2.44
158,11,6,2024-07-30,2024-08-18,2024-08-20,2191.54,ship,3,2,0.5194,0.163,1,51.18
159,20,11,2023-06-04,2023-07-14,2023-07-16,3274.38,ship,3,2,0.2051,0.2853,1,48.08
160,39,17,2025-04-22,2025-05-13,2025-05-15,548.88,truck,4,1,0.2671,0.2906,1,59.03
161,18,8,2024-02-17,2024-03-01,2024-03-01,1792.37,truck,5,1,0.1901,0.0465,0,2.07
162,34,11,2025-04-02,2025-05-02,2025-05-02,7515.99,ship,3,0,0.3614,0.0399,0,2.06
163,15,7,2023-06-20,2023-07-18,2023-07-18,367.12,truck,4,0,0.1762,0.1012,0,2.82
164,42,17,2025-01-12,2025-01-25,2025-01-25,627.43,truck,4,0,0.3959,0.2372,0,2.35
165,37,17,2025-04-03,2025-05-08,2025-05-08,2419.92,truck,1,1,0.3242,0.1502,0,1.92
166,27,8,2023-06-30,2023-07-22,2023-07-22,1073.64,truck,2,1,0.5526,0.1179,0,1.95
167,29,3,2023-04-02,2023-04-28,2023-04-30,2329.34,truck,2,1,0.3147,0.223,1,43.51
168,50,3,2023-06-29,2023-07-16,2023-07-17,411.91,truck,4,0,0.4181,0.1476,1,23.71
169,7,7,2023-03-04,2023-04-25,2023-04-25,10252.67,ship,2,2,0.0693,0.2727,0,2.36
170,45,2,2024-08-08,2024-08-22,2024-08-22,1406.04,truck,5,1,0.2953,0.1051,1,7.49
171,1,10,2024-10-26,2024-12-01,2024-12-01,4925.84,ship,1,0,0.4049,0.2492,0,1.96
172,7,18,2023-05-20,2023-06-11,2023-06-15,893.32,truck,2,2,0.6537,0.2727,1,90.43
173,49,7,2025-06-12,2025-07-01,2025-07-01,1550.31,truck,3,0,0.3475,0.0836,0,6.14
174,13,12,2025-03-31,2025-05-22,2025-05-23,12827.47,ship,5,1,0.2396,0.1757,1,19.77
175,37,18,2023-05-01,2023-06-01,2023-06-02,2393.73,air,4,2,0.694,0.1502,1,33.71
176,23,20,2025-11-14,2025-12-07,2025-12-07,1198.65,truck,4,1,0.3311,0.2281,0,1.61
177,8,4,2023-10-21,2023-11-30,2023-12-01,5957.18,ship,3,1,0.51,0.1094,1,25.15
178,11,20,2023-03-24,2023-04-12,2023-04-12,2399.5,truck,3,0,0.6113,0.163,0,2.77
179,47,7,2025-01-30,2025-02-26,2025-02-27,1171.73,truck,3,2,0.0729,0.1768,1,18.63
180,34,14,2023-03-27,2023-04-05,2023-04-05,471.37,truck,4,1,0.1185,0.0399,0,1.95
181,20,7,2023-05-22,2023-06-26,2023-06-27,1904.59,ship,3,1,0.2487,0.2853,1,26.67
182,14,16,2025-09-16,2025-10-16,2025-10-18,661.85,truck,4,0,0.7416,0.2082,1,49.36
183,25,14,2024-03-13,2024-04-03,2024-04-03,2965.7,air,1,0,0.2144,0.3294,0,3.58
184,21,3,2025-07-14,2025-07-27,2025-07-27,1584.21,air,4,0,0.7039,0.1211,0,1.35
185,39,17,2024-01-10,2024-02-02,2024-02-02,2285.28,truck,5,0,0.5979,0.2906,0,2.12
186,19,2,2023-05-07,2023-05-21,2023-05-21,842.73,truck,4,1,0.469,0.2562,0,2.61
187,5,16,2023-01-28,2023-02-26,2023-02-26,2220.64,truck,4,0,0.5877,0.2606,0,1.63
188,43,13,2023-05-06,2023-06-02,2023-06-05,871.99,truck,3,1,0.6052,0.1166,1,83.72
189,39,12,2023-04-13,2023-05-31,2023-06-01,10030.92,ship,4,0,0.3186,0.2906,1,35.77
190,32,10,2023-06-04,2023-07-07,2023-07-09,3714.78,truck,4,1,0.5633,0.299,1,44.95
191,50,3,2024-07-11,2024-07-31,2024-08-02,977.22,truck,5,0,0.3885,0.1476,1,50.89
192,36,10,2023-06-05,2023-06-30,2023-06-30,1248.67,truck,2,2,0.6115,0.0168,0,5.51
193,34,8,2024-10-01,2024-10-12,2024-10-16,618.5,truck,5,1,0.3373,0.0399,1,94.83
194,47,18,2023-12-22,2024-01-19,2024-01-19,1504.19,ship,1,0,0.5852,0.1768,0,1.63
195,23,20,2024-11-27,2024-12-19,2024-12-19,405.81,truck,1,1,0.6845,0.2281,0,3.17
196,33,1,2025-08-21,2025-09-05,2025-09-05,701.85,truck,5,1,0.64,0.1674,0,1.86
197,28,9,2024-07-15,2024-08-05,2024-08-06,6694.55,air,4,1,0.6751,0.183,1,25.18
198,1,17,2023-11-28,2023-12-23,2023-12-23,631.39,truck,4,0,0.3167,0.2492,0,2.71
199,1,5,2024-02-13,2024-03-15,2024-03-17,3118.11,ship,4,0,0.508,0.2492,1,46.37
200,46,19,2023-07-26,2023-08-12,2023-08-12,372.22,truck,3,1,0.2258,0.0911,0,1.39
201,37,3,2024-12-26,2025-01-30,2025-01-31,7139.76,air,3,1,0.6683,0.1502,1,35.66
202,45,2,2023-09-19,2023-10-02,2023-10-03,418.1,truck,4,1,0.4967,0.1051,1,17.81
203,26,6,2024-09-03,2024-09-25,2024-09-27,718.29,truck,4,0,0.531,0.1577,1,52.96
204,47,7,2025-01-09,2025-02-06,2025-02-06,6384.97,air,1,1,0.2105,0.1768,0,2.42
205,9,7,2025-09-06,2025-09-26,2025-09-26,807.59,truck,1,0,0.1356,0.1382,0,1.83
206,18,19,2024-08-12,2024-08-26,2024-08-26,7331.71,air,3,0,0.4345,0.0465,0,2.3
207,43,15,2024-05-21,2024-07-01,2024-07-02,5969.27,ship,5,1,0.5994,0.1166,1,23.9
208,2,8,2025-02-15,2025-02-25,2025-02-25,635.79,truck,1,0,0.4597,0.3485,0,2.34
209,43,6,2023-06-07,2023-07-16,2023-07-16,4872.65,ship,3,2,0.2703,0.1166,0,3.25
210,27,14,2024-03-03,2024-03-31,2024-04-02,3871.09,truck,4,0,0.2369,0.1179,1,58.46
211,6,13,2023-03-24,2023-04-19,2023-04-19,2664.9,air,4,1,0.4152,0.3463,0,2.13
212,39,8,2023-08-22,2023-09-08,2023-09-08,1598.03,air,4,1,0.4099,0.2906,0,2.16
213,22,2,2024-08-14,2024-08-30,2024-08-30,5908.44,air,5,1,0.2164,0.1904,0,1.88
214,44,4,2024-10-11,2024-10-28,2024-10-28,8332.99,air,2,1,0.3579,0.0719,0,4.34
215,6,16,2023-08-01,2023-08-28,2023-08-28,1127.43,truck,3,2,0.3712,0.3463,1,10.71
216,3,20,2024-11-04,2024-12-01,2024-12-03,1755.35,truck,2,2,0.6609,0.2878,1,51.99
217,34,19,2025-11-21,2025-12-07,2025-12-07,3173.96,truck,1,2,0.3061,0.0399,0,2.27
218,27,12,2025-08-15,2025-09-07,2025-09-07,2130.98,truck,2,0,0.3853,0.1179,0,1.45
219,12,7,2024-03-07,2024-04-07,2024-04-11,1595.88,air,1,1,0.2099,0.2771,1,84.62
220,8,16,2023-07-14,2023-08-05,2023-08-05,452.3,truck,3,2,0.6206,0.1094,0,1.31
221,36,2,2023-03-30,2023-04-21,2023-04-21,2377.73,truck,3,0,0.4628,0.0168,0,2.12
222,49,5,2024-06-22,2024-07-08,2024-07-08,680.12,truck,1,0,0.4868,0.0836,0,2.24
223,1,16,2025-02-21,2025-03-18,2025-03-18,1845.36,truck,3,0,1.0,0.2492,0,2.99
224,22,6,2024-03-10,2024-03-31,2024-03-31,13493.16,air,1,0,0.2939,0.1904,0,5.93
225,50,15,2023-09-06,2023-10-09,2023-10-09,5844.41,ship,2,1,0.5211,0.1476,0,2.35
226,13,12,2025-02-02,2025-03-16,2025-03-21,9008.41,ship,5,0,0.3855,0.1757,1,118.83
227,37,15,2024-02-17,2024-03-19,2024-03-19,345.16,truck,3,0,0.5597,0.1502,0,2.61
228,40,17,2024-12-06,2024-12-31,2025-01-02,1642.76,truck,1,0,0.4385,0.1206,1,59.33
229,48,7,2024-08-14,2024-09-02,2024-09-07,1699.7,truck,1,1,0.2404,0.5295,1,120.87
230,47,6,2024-08-12,2024-09-08,2024-09-08,435.68,truck,3,2,0.5326,0.1768,0,2.19
231,27,11,2024-05-30,2024-06-23,2024-06-24,2066.03,truck,5,1,0.4698,0.1179,1,21.23
232,50,5,2024-08-03,2024-08-24,2024-09-06,1853.0,truck,5,1,0.6742,0.1476,1,306.01
233,21,12,2023-09-07,2023-11-11,2023-11-13,18880.06,ship,5,1,0.1958,0.1211,1,51.1
234,27,18,2024-12-26,2025-01-17,2025-01-17,358.97,truck,5,0,0.5541,0.1179,0,1.85
235,47,19,2024-06-01,2024-06-26,2024-06-27,528.5,truck,3,0,0.19,0.1768,1,18.28
236,12,19,2024-09-04,2024-10-06,2024-10-06,926.17,truck,1,1,0.3604,0.2771,0,1.85
237,26,15,2025-04-16,2025-05-17,2025-05-17,5125.71,ship,3,1,0.5494,0.1577,0,1.83
238,12,18,2023-04-24,2023-05-24,2023-05-24,1980.54,truck,2,0,0.7341,0.2771,0,2.64
239,50,19,2025-07-29,2025-08-19,2025-08-19,1026.85,truck,2,1,0.2828,0.1476,0,3.93
240,46,17,2024-03-01,2024-04-23,2024-04-25,12916.82,ship,2,1,0.4506,0.0911,1,57.01
241,35,10,2024-08-11,2024-09-04,2024-09-05,320.64,truck,3,1,0.4747,0.4038,1,32.99
242,15,4,2024-06-05,2024-07-05,2024-07-09,356.45,truck,4,2,0.5394,0.1012,1,87.58
243,20,3,2023-08-20,2023-09-21,2023-09-21,681.81,truck,3,0,0.6919,0.2853,0,2.4
244,31,16,2023-04-13,2023-06-03,2023-06-06,11451.46,ship,1,1,0.6285,0.2757,1,63.99
245,35,7,2025-11-06,2025-12-07,2025-12-11,2885.07,truck,4,1,0.2289,0.4038,1,90.87
246,20,7,2024-07-20,2024-08-21,2024-08-21,1455.28,truck,1,0,0.3184,0.2853,0,3.85
247,12,1,2023-12-08,2024-01-29,2024-02-01,7614.12,ship,5,0,0.4742,0.2771,1,76.8
248,6,10,2023-05-08,2023-06-03,2023-06-04,749.17,truck,2,1,0.5152,0.3463,1,31.88
249,30,19,2023-09-06,2023-09-25,2023-09-25,2575.15,air,4,1,0.3441,0.3611,0,1.71
250,4,18,2023-06-29,2023-07-30,2023-08-01,549.94,truck,4,2,0.4658,0.2301,1,59.88
251,24,9,2024-02-05,2024-02-25,2024-02-25,8745.48,air,2,0,0.6258,0.0437,0,2.45
252,48,10,2025-11-29,2025-12-15,2025-12-17,353.11,truck,5,0,0.5901,0.5295,1,59.09
253,30,18,2024-12-16,2025-01-07,2025-01-07,1199.83,truck,4,0,0.6578,0.3611,0,1.97
254,7,6,2023-12-16,2024-01-04,2024-01-04,346.85,truck,1,0,0.563,0.2727,0,1.25
