shipment_id,weather_severity,traffic_level,supplier_risk,congestion_level,risk_score,delayed,delay_hours
76,1,5,0.299,0.4372,0.449,0,1.73
77,0,4,0.2771,0.3153,0.282,1,10.84
78,2,2,0.3266,0.6418,0.5184,1,31.81
79,1,1,0.1476,0.5695,0.3167,0,0.88
80,1,4,0.0168,0.8334,0.4334,1,119.38
81,1,1,0.299,0.7301,0.4022,0,1.74
82,0,2,0.1768,0.6492,0.2753,1,27.46
83,0,1,0.1768,0.5437,0.219,1,9.69
84,0,5,0.335,0.7139,0.429,1,22.41
85,1,3,0.2492,0.6721,0.4328,1,55.07
86,1,4,0.2727,0.6706,0.4695,0,7.9
87,0,5,0.0836,0.4568,0.2893,0,2.58
88,0,5,0.1012,0.6797,0.3503,1,48.16
89,1,3,0.1178,0.6973,0.3997,0,2.09
90,0,1,0.1904,0.4501,0.1996,0,1.68
91,0,1,0.299,0.3021,0.1952,0,0.9
92,0,4,0.1178,0.5687,0.2975,1,32.9
93,1,4,0.2757,0.645,0.464,1,61.2
94,0,4,0.1476,0.2751,0.2331,0,2.01
95,0,1,0.1094,0.3649,0.154,0,3.03
96,1,1,0.0465,0.2791,0.2137,0,1.34
97,1,4,0.2906,0.5502,0.4447,1,22.3
98,2,3,0.0168,0.5132,0.4233,0,3.21
99,0,1,0.2727,0.3617,0.2022,0,3.22
100,1,2,0.1051,0.5271,0.3233,1,54.28
101,1,5,0.299,0.4682,0.4568,1,74.87
102,1,5,0.3485,0.588,0.5015,1,50.28
103,0,1,0.2281,0.5068,0.2251,1,40.48
104,1,5,0.2281,0.4535,0.4318,1,77.12
105,0,1,0.2372,0.3526,0.1893,0,2.21
106,0,2,0.223,0.4905,0.2495,0,4.13
107,0,4,0.163,0.7835,0.3648,0,1.42
108,1,2,0.2492,0.7524,0.4229,1,30.5
109,0,4,0.3463,0.4656,0.3403,0,0.96
110,1,2,0.1768,0.4439,0.324,0,2.55
111,0,2,0.1757,0.6234,0.2686,0,2.24
112,0,3,0.4038,0.4931,0.3344,0,2.3
113,1,3,0.2082,0.6369,0.4117,1,27.84
114,1,5,0.3294,0.0312,0.3566,0,1.89
115,2,5,0.1768,0.6317,0.561,0,2.73
116,1,1,0.5295,0.4554,0.4027,1,31.97
117,0,2,0.2853,0.3522,0.2336,1,18.09
118,1,5,0.2906,0.4337,0.4456,1,42.88
119,1,2,0.299,0.1921,0.2977,0,2.86
120,0,1,0.1206,0.5198,0.1961,0,1.91
121,2,1,0.1179,0.3751,0.3591,1,91.14
122,1,4,0.1502,0.3995,0.3649,0,1.82
123,1,2,0.1179,0.3801,0.2904,1,27.34
124,2,5,0.1178,0.2843,0.4564,0,1.7
125,1,4,0.1206,0.4674,0.373,1,120.16
126,2,2,0.1166,0.2946,0.3686,0,1.54
127,1,2,0.2281,0.3224,0.309,0,1.81
128,0,4,0.1179,0.4632,0.2712,0,1.9
129,0,1,0.2301,0.2973,0.1734,1,42.5
130,0,3,0.2606,0.6736,0.3366,1,72.52
131,0,5,0.1476,0.5402,0.3293,1,16.27
132,0,4,0.3294,0.4336,0.3272,1,34.64
133,0,2,0.2727,0.2616,0.2072,0,2.23
134,1,3,0.0168,0.7345,0.3787,1,41.82
135,0,1,0.2082,0.5408,0.2277,0,1.44
136,1,5,0.1502,0.2077,0.347,1,33.04
137,0,3,0.1476,0.3316,0.2172,1,58.21
138,2,3,0.1135,0.2265,0.3807,1,16.68
139,0,3,0.2562,0.4663,0.2834,1,79.47
140,1,5,0.5295,0.6395,0.5687,0,2.21
141,1,5,0.1012,0.2305,0.338,0,4.11
142,1,5,0.1051,0.14,0.3165,0,3.02
143,1,2,0.3485,0.4972,0.3888,1,94.31
144,0,3,0.2281,0.781,0.3537,1,161.19
145,1,4,0.1577,0.5024,0.3929,1,145.08
146,1,5,0.2301,0.3576,0.4084,1,34.08
147,1,3,0.3611,0.7269,0.4801,1,28.85
148,3,5,0.1768,0.3065,0.5797,0,8.77
149,0,1,0.1674,0.721,0.2605,1,9.26
150,0,2,0.1179,0.5067,0.222,1,37.92
151,1,1,0.2906,0.561,0.3574,1,80.89
152,0,3,0.1502,0.505,0.2613,1,95.34
153,0,3,0.4038,0.5213,0.3415,0,2.09
154,0,1,0.2372,0.471,0.2189,0,3.43
155,1,3,0.2771,0.3136,0.3515,1,34.73
156,1,2,0.2906,0.2166,0.3013,1,14.07
157,0,1,0.1577,0.5125,0.2054,0,2.44
158,2,3,0.163,0.5194,0.4688,1,51.18
159,2,3,0.2853,0.2051,0.4269,1,48.08
160,1,4,0.2906,0.2671,0.374,1,59.03
161,1,5,0.0465,0.1901,0.3115,0,2.07
162,0,3,0.0399,0.3614,0.1923,0,2.06
163,0,4,0.1012,0.1762,0.1944,0,2.82
164,0,4,0.2372,0.3959,0.2901,0,2.35
165,1,1,0.1502,0.3242,0.2561,0,1.92
166,1,2,0.1179,0.5526,0.3335,0,1.95
167,1,2,0.223,0.3147,0.3056,1,43.51
168,0,4,0.1476,0.4181,0.2688,1,23.71
169,2,2,0.2727,0.0693,0.3591,0,2.36
170,1,5,0.1051,0.2953,0.3554,1,7.49
171,0,1,0.2492,0.4049,0.206,0,1.96
172,2,2,0.2727,0.6537,0.5052,1,90.43
173,0,3,0.0836,0.3475,0.202,0,6.14
174,1,5,0.1757,0.2396,0.3626,1,19.77
175,2,4,0.1502,0.694,0.5386,1,33.71
176,1,4,0.2281,0.3311,0.3712,0,1.61
177,1,3,0.1094,0.51,0.3503,1,25.15
178,0,3,0.163,0.6113,0.2917,0,2.77
179,2,3,0.1768,0.0729,0.3613,1,18.63
180,1,4,0.0399,0.1185,0.2616,0,1.95
181,1,3,0.2853,0.2487,0.3378,1,26.67
182,0,4,0.2082,0.7416,0.3679,1,49.36
183,0,1,0.3294,0.2144,0.1824,0,3.58
184,0,4,0.1211,0.7039,0.3323,0,1.35
185,0,5,0.2906,0.5979,0.3867,0,2.12
186,1,4,0.2562,0.469,0.4141,0,2.61
187,0,4,0.2606,0.5877,0.3451,0,1.63
188,1,3,0.1166,0.6052,0.3763,1,83.72
189,0,4,0.2906,0.3186,0.2868,1,35.77
190,1,4,0.299,0.5633,0.4505,1,44.95
191,0,5,0.1476,0.3885,0.2914,1,50.89
192,2,2,0.0168,0.6115,0.4179,0,5.51
193,1,5,0.0399,0.3373,0.3463,1,94.83
194,0,1,0.1768,0.5852,0.2293,0,1.63
195,1,1,0.2281,0.6845,0.3696,0,3.17
196,1,5,0.1674,0.64,0.4602,0,1.86
197,1,4,0.183,0.6751,0.4437,1,25.18
198,0,4,0.2492,0.3167,0.2739,0,2.71
199,0,4,0.2492,0.508,0.3218,1,46.37
200,1,3,0.0911,0.2258,0.2738,0,1.39
201,1,3,0.1502,0.6683,0.4021,1,35.66
202,1,4,0.1051,0.4967,0.3757,1,17.81
203,0,4,0.1577,0.531,0.3001,1,52.96
204,1,1,0.1768,0.2105,0.2357,0,2.42
205,0,1,0.1382,0.1356,0.1054,0,1.83
206,0,3,0.0465,0.4345,0.2126,0,2.3
207,1,5,0.1166,0.5994,0.4348,1,23.9
208,0,1,0.3485,0.4597,0.2495,0,2.34
209,2,3,0.1166,0.2703,0.3926,0,3.25
210,0,4,0.1179,0.2369,0.2146,1,58.46
211,1,4,0.3463,0.4152,0.4277,0,2.13
212,1,4,0.2906,0.4099,0.4097,0,2.16
213,1,5,0.1904,0.2164,0.3612,0,1.88
214,1,2,0.0719,0.3579,0.271,0,4.34
215,2,3,0.3463,0.3712,0.4867,1,10.71
216,2,2,0.2878,0.6609,0.5116,1,51.99
217,2,1,0.0399,0.3061,0.3185,0,2.27
218,0,2,0.1179,0.3853,0.1917,0,1.45
219,1,1,0.2771,0.2099,0.2656,1,84.62
220,2,3,0.1094,0.6206,0.478,0,1.31
221,0,3,0.0168,0.4628,0.2107,0,2.12
222,0,1,0.0836,0.4868,0.1768,0,2.24
223,0,3,0.2492,1.0,0.4148,0,2.99
224,0,1,0.1904,0.2939,0.1606,0,5.93
225,1,2,0.1476,0.5211,0.3346,0,2.35
226,0,5,0.1757,0.3855,0.2991,1,118.83
227,0,3,0.1502,0.5597,0.275,0,2.61
228,0,1,0.1206,0.4385,0.1758,1,59.33
229,1,1,0.5295,0.2404,0.349,1,120.87
230,2,3,0.1768,0.5326,0.4762,0,2.19
231,1,5,0.1179,0.4698,0.4028,1,21.23
232,1,5,0.1476,0.6742,0.4628,1,306.01
233,1,5,0.1211,0.1958,0.3353,1,51.1
234,0,5,0.1179,0.5541,0.3239,0,1.85
235,0,3,0.1768,0.19,0.1905,1,18.28
236,1,1,0.2771,0.3604,0.3032,0,1.85
237,1,3,0.1577,0.5494,0.3747,0,1.83
238,0,2,0.2771,0.7341,0.3267,0,2.64
239,1,2,0.1476,0.2828,0.275,0,3.93
240,1,2,0.0911,0.4506,0.3,1,57.01
241,1,3,0.4038,0.4747,0.4298,1,32.99
242,2,4,0.1012,0.5394,0.4852,1,87.58
243,0,3,0.2853,0.6919,0.3486,0,2.4
244,1,1,0.2757,0.6285,0.3698,1,63.99
245,1,4,0.4038,0.2289,0.3984,1,90.87
246,0,1,0.2853,0.3184,0.1952,0,3.85
247,0,5,0.2771,0.4742,0.3517,1,76.8
248,1,2,0.3463,0.5152,0.3927,1,31.88
249,1,4,0.3611,0.3441,0.4144,0,1.71
250,2,4,0.2301,0.4658,0.5055,1,59.88
251,0,2,0.0437,0.6258,0.2296,0,2.45
252,0,5,0.5295,0.5901,0.4564,1,59.09
253,0,4,0.3611,0.6578,0.3928,0,1.97
254,0,1,0.2727,0.563,0.2526,0,1.25
255,1,4,0.0168,0.378,0.3195,1,90.56
256,2,5,0.1178,0.5211,0.5156,1,98.7
257,1,5,0.2301,0.2109,0.3718,1,70.6
258,1,1,0.5295,0.2786,0.3585,0,2.73
259,0,5,0.2562,0.6269,0.3836,1,25.06
260,1,5,0.1768,0.7013,0.4784,1,325.63
261,0,4,0.1051,0.5944,0.3001,1,18.93
262,0,1,0.3266,0.5387,0.2627,1,31.91
263,0,2,0.5295,0.5727,0.362,0,2.54
264,1,3,0.1211,0.7874,0.4232,1,28.05
265,0,4,0.183,0.2824,0.2455,1,18.85
266,2,1,0.4038,0.5871,0.4979,1,77.06
267,0,5,0.1476,0.6113,0.3471,0,2.83
268,2,2,0.4038,0.6286,0.5383,1,24.45
269,1,3,0.0911,0.251,0.2801,1,12.76
270,1,4,0.163,0.3027,0.3446,1,14.97
271,0,2,0.2082,0.5402,0.2575,0,1.85
272,1,5,0.2606,0.4358,0.4371,1,56.82
273,0,3,0.0911,0.4469,0.2291,0,1.41
274,0,4,0.3463,0.5555,0.3628,0,2.23
275,0,5,0.3463,0.4533,0.3672,1,156.8
276,1,1,0.1757,0.5875,0.3296,0,1.59
277,0,3,0.2082,0.5846,0.2986,1,12.24
278,1,1,0.0168,0.4548,0.2487,0,1.75
279,2,5,0.1012,0.4728,0.4986,1,295.39
280,0,2,0.2606,0.5071,0.265,1,28.58
281,0,5,0.0465,0.5951,0.3127,1,406.3
282,1,1,0.2906,0.4556,0.3311,1,24.25
283,1,1,0.1502,0.5656,0.3165,0,2.79
284,1,1,0.3463,0.2572,0.2982,0,2.6
285,1,4,0.1206,0.3961,0.3552,1,13.88
286,0,5,0.1757,0.5913,0.3505,1,37.53
287,0,4,0.1577,0.1689,0.2095,1,48.03
288,1,4,0.1179,0.8197,0.4603,1,44.59
289,0,5,0.3611,0.4016,0.3587,0,4.22
290,0,4,0.335,0.3601,0.3105,1,72.62
291,1,5,0.1012,0.6932,0.4537,0,1.67
292,0,4,0.0836,0.6849,0.3163,0,1.72
293,1,2,0.2606,0.5687,0.3804,1,85.57
294,0,4,0.3463,0.4069,0.3256,0,2.13
295,1,4,0.335,0.8003,0.5206,1,65.74
296,1,1,0.3294,0.3455,0.3152,1,106.95
297,1,1,0.335,0.5131,0.3588,1,10.58
298,2,5,0.223,0.4121,0.5199,1,163.7
299,1,3,0.2757,0.3804,0.3678,1,94.18
300,1,4,0.1476,0.2627,0.33,1,124.39
301,0,5,0.3485,0.252,0.3176,1,59.2
302,1,2,0.2372,0.4272,0.338,1,130.97
303,1,4,0.2906,0.4033,0.408,0,3.18
304,2,3,0.1211,0.4739,0.4448,0,1.55
305,0,1,0.1577,0.503,0.2031,1,36.82
306,0,1,0.1012,0.4196,0.1653,0,2.57
307,0,1,0.3611,0.6531,0.3016,1,39.72
308,0,3,0.2757,0.6253,0.329,0,2.78
309,0,4,0.2727,0.8259,0.4083,1,154.16
310,0,3,0.3485,0.3409,0.2798,1,71.09
311,0,2,0.1904,0.5442,0.2532,0,4.83
312,1,4,0.1757,0.4961,0.3967,1,55.7
313,0,5,0.1178,0.6374,0.3447,0,2.87
314,1,5,0.2771,0.3054,0.4095,1,27.33
315,0,2,0.2757,0.2882,0.2148,0,2.52
316,0,2,0.2757,0.4575,0.2571,1,48.42
317,0,5,0.299,0.3311,0.3225,0,1.06
318,0,3,0.1178,0.5701,0.2679,0,1.95
319,1,4,0.299,0.0,0.3097,0,3.93
320,0,1,0.1178,0.0973,0.0897,1,44.69
321,0,4,0.2372,0.2326,0.2493,1,48.9
322,1,3,0.3266,0.4858,0.4094,1,49.95
323,1,3,0.1094,0.9137,0.4512,1,29.61
324,1,3,0.335,0.3662,0.382,0,2.41
325,0,3,0.1178,0.6056,0.2767,0,3.22
326,0,2,0.1166,0.3004,0.1701,0,1.02
327,1,4,0.1178,0.6403,0.4154,1,67.84
328,1,5,0.2082,0.343,0.3982,1,78.23
329,2,5,0.335,0.8642,0.6666,1,103.07
330,2,3,0.2372,0.6049,0.5124,1,41.72
331,0,2,0.335,0.5284,0.2926,1,43.67
332,0,2,0.1179,0.7343,0.2789,0,1.99
333,0,2,0.3485,0.5095,0.2919,0,2.17
334,1,2,0.2606,0.2592,0.303,1,116.49
335,0,2,0.2606,0.5358,0.2721,0,1.79
336,2,3,0.2771,0.178,0.4176,1,74.74
337,1,5,0.1206,0.2208,0.3414,0,2.09
338,1,3,0.3485,0.4955,0.4184,1,44.94
339,0,1,0.1135,0.492,0.187,1,29.58
340,2,3,0.163,0.3931,0.4372,0,2.11
341,0,5,0.1757,0.3738,0.2962,1,291.11
342,0,5,0.1757,0.4982,0.3273,1,43.11
343,1,3,0.2301,0.5672,0.4008,1,34.61
344,1,4,0.2727,0.398,0.4013,1,51.73
345,2,1,0.183,0.1984,0.3345,0,1.97
346,1,4,0.223,0.7258,0.4684,1,11.04
347,1,1,0.1094,0.4812,0.2831,1,18.98
348,0,2,0.2606,0.4882,0.2602,1,43.09
349,1,2,0.2606,0.4326,0.3463,0,3.55
350,0,3,0.0719,0.1814,0.1569,0,3.49
351,0,2,0.2301,0.4215,0.2344,1,27.6
352,2,5,0.1674,0.2042,0.4513,1,50.73
353,0,3,0.2757,0.8002,0.3728,0,2.13
354,1,4,0.3463,0.5278,0.4558,0,2.41
355,1,5,0.3266,0.6502,0.5105,1,24.09
356,0,2,0.3463,0.3532,0.2522,0,3.23
357,0,3,0.1502,0.3382,0.2196,0,2.65
358,1,1,0.1178,0.6274,0.3222,0,2.45
359,1,5,0.2082,0.681,0.4827,1,34.39
360,0,5,0.2492,0.5312,0.3576,0,2.4
361,2,3,0.2757,0.479,0.4925,1,37.22
362,0,2,0.1577,0.4428,0.218,0,1.57
363,0,5,0.1382,0.4314,0.2993,1,174.14
364,0,4,0.5295,0.6739,0.4473,0,5.95
365,0,2,0.1094,0.3164,0.1719,0,2.58
366,0,2,0.0168,0.6877,0.237,1,34.17
367,1,2,0.2082,0.2036,0.2734,0,1.55
368,1,1,0.1757,0.7609,0.3729,1,42.02
369,0,3,0.5395,0.2255,0.3082,1,125.2
370,1,1,0.4038,0.2479,0.3131,1,68.79
371,0,4,0.335,0.4625,0.3361,1,63.37
372,1,1,0.0836,0.4818,0.2755,1,186.29
373,2,3,0.1051,0.4843,0.4426,0,3.92
374,1,4,0.2301,0.4548,0.4027,1,64.74
375,1,2,0.3266,0.6136,0.4114,1,59.05
376,1,2,0.2281,0.2918,0.3014,0,2.24
377,1,3,0.1904,0.3075,0.324,0,4.2
378,1,5,0.3611,0.6179,0.5128,1,115.14
379,2,3,0.0719,0.5547,0.4502,1,138.39
380,0,3,0.1904,0.5967,0.2963,1,78.02
381,1,3,0.2492,0.1991,0.3145,1,36.07
382,1,2,0.2301,0.5241,0.3601,0,3.18
383,1,2,0.3266,0.4827,0.3787,1,35.49
384,1,5,0.1382,0.1593,0.3313,0,2.88
385,1,1,0.0719,0.2487,0.2137,0,1.45
386,0,4,0.2906,0.5846,0.3533,1,61.35
387,0,2,0.2562,0.1968,0.1861,0,1.69
388,0,4,0.1094,0.4022,0.2534,1,8.51
389,1,4,0.0911,0.346,0.3338,0,2.77
390,0,2,0.223,0.2888,0.1991,0,2.36
391,1,2,0.2906,0.667,0.4139,1,31.99
392,1,4,0.5295,0.7108,0.5566,0,2.73
393,0,3,0.1135,0.5675,0.2659,0,2.41
394,0,1,0.0719,0.5864,0.1982,1,17.66
395,1,2,0.2281,0.3488,0.3156,1,34.17
396,0,1,0.4038,0.4181,0.2557,0,1.18
397,0,1,0.0836,0.3439,0.1411,0,2.24
398,1,3,0.2606,0.2419,0.3287,0,3.99
399,1,2,0.1382,0.2677,0.2684,0,4.25
400,0,2,0.1012,0.3665,0.182,0,2.24
401,1,1,0.1577,0.7787,0.372,1,75.97
402,0,3,0.1674,0.2905,0.2128,0,1.98
403,1,2,0.183,0.421,0.3202,0,1.54
404,0,2,0.2771,0.2237,0.1991,1,13.84
405,1,1,0.1502,0.4624,0.2907,1,17.43
406,1,3,0.299,0.4173,0.384,1,23.75
407,0,3,0.1577,0.4451,0.2486,0,2.78
408,1,4,0.1211,0.5482,0.3934,1,10.94
409,2,1,0.223,0.6316,0.4548,1,31.58
410,1,1,0.3294,0.6845,0.3999,1,49.01
411,1,1,0.1179,0.7791,0.3601,0,1.49
412,0,4,0.2727,0.5165,0.3309,1,36.33
413,0,2,0.1206,0.4547,0.2099,0,1.88
414,1,5,0.1768,0.4054,0.4044,1,27.06
415,1,2,0.2372,0.5179,0.3606,0,3.67
416,1,5,0.5295,0.5433,0.5447,1,262.15
417,1,1,0.1904,0.7021,0.3626,0,3.82
418,1,2,0.4038,0.5283,0.4132,0,1.61
419,1,5,0.2082,0.4001,0.4125,1,41.11
420,0,2,0.1904,0.6473,0.2789,0,3.59
421,0,4,0.2372,0.422,0.2967,1,40.11
422,1,1,0.0399,0.7815,0.3373,1,30.63
423,0,2,0.4038,0.3951,0.2799,1,32.98
424,1,5,0.1674,0.5383,0.4348,1,59.03
425,0,2,0.183,0.2955,0.1888,0,0.88
426,0,5,0.183,0.3664,0.2965,1,29.05
427,0,2,0.2906,0.5534,0.2855,0,1.73
428,1,5,0.2853,0.7015,0.511,1,65.18
429,1,2,0.3463,0.6693,0.4312,1,66.3
430,2,4,0.5395,0.3245,0.563,1,81.9
431,1,3,0.1051,0.3158,0.3005,0,3.06
432,1,2,0.1166,0.4877,0.3169,0,1.03
433,1,3,0.4038,0.4131,0.4144,1,23.66
434,0,4,0.163,0.6286,0.326,1,15.0
435,1,4,0.1502,0.7509,0.4528,1,15.98
436,2,4,0.1904,0.54,0.5121,1,26.36
437,1,1,0.1382,0.7863,0.368,0,1.03
438,2,4,0.3485,0.5474,0.5614,1,61.81
439,1,3,0.3266,0.2485,0.3501,1,36.34
440,2,5,0.223,0.609,0.5691,1,79.93
441,1,2,0.1166,0.4669,0.3117,0,1.13
442,2,2,0.2281,0.3704,0.421,0,2.72
443,0,4,0.183,0.3053,0.2512,1,54.28
444,2,1,0.4038,0.6131,0.5044,1,50.03
445,2,4,0.5395,0.2891,0.5541,1,32.45
446,1,3,0.2492,0.7212,0.4451,0,0.83
447,0,5,0.1179,0.2496,0.2478,1,65.22
448,1,1,0.163,0.4037,0.2798,0,2.3
449,0,2,0.3266,0.2584,0.2226,0,4.16
450,0,2,0.2906,0.4526,0.2603,0,3.52
451,1,2,0.0465,0.6309,0.3317,0,1.51
452,0,5,0.2853,0.6742,0.4041,1,65.41
453,1,5,0.2906,0.57,0.4797,0,1.53
454,0,3,0.1179,0.2117,0.1783,0,2.2
455,1,4,0.3611,0.2731,0.3966,1,65.73
456,0,3,0.1211,0.5469,0.2631,1,24.29
457,0,2,0.3485,0.2579,0.229,1,34.29
458,0,4,0.2878,0.5894,0.3537,0,2.27
459,0,3,0.1135,0.6814,0.2944,1,45.28
460,1,4,0.2878,0.4435,0.4172,0,3.06
461,1,3,0.2082,0.4287,0.3596,1,153.23
462,0,3,0.0836,0.3382,0.1996,1,31.94
463,1,4,0.1166,0.4979,0.3795,1,230.48
464,0,3,0.2301,0.1389,0.1938,1,39.98
465,0,3,0.1768,0.3455,0.2294,0,4.83
466,1,4,0.1178,0.3714,0.3482,0,3.37
467,0,2,0.223,0.498,0.2514,0,1.4
468,1,1,0.1094,0.535,0.2966,1,14.6
469,0,5,0.3611,0.5019,0.3838,1,9.08
470,0,2,0.1757,0.2563,0.1768,1,9.51
471,1,2,0.1577,0.5202,0.3374,0,3.47
472,0,1,0.2082,0.6508,0.2552,0,2.09
473,1,1,0.1502,0.6503,0.3376,0,1.02
474,1,1,0.1577,0.4439,0.2883,0,3.23
475,1,1,0.1674,0.5234,0.3111,0,1.48
476,0,3,0.5395,0.4134,0.3552,0,1.97
477,1,4,0.1166,0.5263,0.3866,1,46.43
478,1,2,0.299,0.4898,0.3722,0,5.0
479,0,5,0.335,0.2604,0.3156,1,34.82
480,1,2,0.1211,0.2589,0.2611,0,1.97
481,1,1,0.2082,0.4903,0.315,0,1.74
482,1,5,0.1757,0.3058,0.3792,1,286.53
483,1,1,0.2906,0.6193,0.372,1,93.77
484,2,4,0.1904,0.3648,0.4683,1,100.58
485,0,4,0.1768,0.5255,0.3044,0,2.19
486,0,4,0.1476,0.559,0.304,0,3.13
487,1,5,0.2281,0.6304,0.476,0,4.02
488,0,2,0.1012,0.3702,0.1829,0,2.79
489,0,3,0.2727,0.5859,0.3183,1,19.47
490,1,2,0.1094,0.6624,0.3584,1,124.77
491,0,3,0.223,0.2355,0.2158,1,78.13
492,1,3,0.223,0.5171,0.3862,0,1.66
493,1,2,0.2727,0.1619,0.2823,0,1.77
494,2,5,0.3463,0.7062,0.6304,1,41.09
495,1,5,0.2606,0.7567,0.5174,1,143.59
496,0,2,0.2281,0.4767,0.2476,1,30.42
497,1,1,0.2757,0.2992,0.2875,0,1.98
498,2,4,0.2492,0.31,0.4723,0,2.32
499,1,5,0.3463,0.4536,0.4673,1,37.68
500,1,5,0.3485,0.2723,0.4226,1,42.1
501,1,1,0.2082,0.3458,0.2789,0,3.4
502,1,5,0.2492,0.7091,0.502,1,27.66
503,0,4,0.2771,0.4274,0.31,0,2.03
504,1,2,0.163,0.4651,0.3252,1,31.71
505,0,2,0.0836,0.4315,0.193,0,3.72
506,0,1,0.1179,0.3569,0.1546,0,2.66
507,0,3,0.2771,0.4779,0.2926,0,2.45
508,0,3,0.3463,0.2431,0.2547,0,4.92
509,0,1,0.4038,0.4011,0.2514,0,1.13
510,1,5,0.1166,0.297,0.3592,1,25.69
511,2,4,0.183,0.5714,0.5177,1,49.97
512,1,1,0.1179,0.3834,0.2612,0,1.68
513,0,2,0.335,0.8545,0.3741,1,94.46
514,1,4,0.1012,0.6011,0.4006,1,31.64
515,1,5,0.1904,0.2256,0.3635,0,1.65
516,0,3,0.2878,0.3976,0.2757,1,79.4
517,0,2,0.2606,0.6591,0.303,0,1.82
518,0,1,0.0437,0.4188,0.1478,0,2.52
519,1,2,0.1094,0.4268,0.2995,1,58.01
520,0,1,0.2492,0.6764,0.2739,0,4.04
